,humans,lat,lon
222,84,46.95986595,142.751350905124
223,101,46.9599613,142.75079572558872
224,91,46.9601334,142.7494885
225,119,46.9594158,142.74904608491332
226,48,46.95956685,142.74795984301448
227,45,46.9597566,142.7484600266177
228,50,46.959139050000005,142.74857964450212
229,50,46.95835065,142.7481953421103
230,68,46.960925,142.74040376669285
231,85,46.9546028,142.741685104192
232,124,46.9547559,142.7423276447353
233,123,46.9536188,142.74191754732715
234,81,46.95396635,142.74298925
235,22,46.95455565,142.74285058620762
236,83,46.95391605,142.74235847555252
237,85,46.9597894,142.7528964
238,95,46.95972185,142.7550137424331
239,106,46.95966905,142.75444832833332
240,104,46.95956705,142.7533433737513
241,103,46.95937255,142.7528298527174
242,92,46.95926855,142.7517145252038
243,94,46.959342750000005,142.7509188092215
244,48,46.9579232,142.7554396499046
245,51,46.95773555,142.75473775752442
246,51,46.95815279999999,142.75402775046237
247,50,46.9574436,142.7528236427003
248,51,46.958164550000006,142.75284239278528
249,48,46.95747795,142.7518245126749
250,50,46.95807395,142.7521626756838
251,49,46.95813945,142.7511581883441
252,48,46.9571477,142.75081612971977
253,45,46.9579454,142.75065744509618
254,19,46.9568535,142.74884238540696
255,96,46.957142000000005,142.7478132451518
256,94,46.956616,142.7467376
257,89,46.95699329999999,142.74623224811558
258,222,46.9559917,142.74454699969874
259,60,46.955886500000005,142.74337065200007
260,92,46.9567535,142.74358370521662
261,93,46.95668575,142.7428977
262,94,46.9561618,142.7419933
263,10,46.96041505,142.74454708416317
264,49,46.96001525,142.7529602248213
265,48,46.9369843,142.7521237
266,9,46.9523756,142.7555655970663
267,325,46.9392508,142.7512622558529
268,43,46.9505716,142.7463594
269,108,46.9515551,142.7567523
270,123,47.00995945,142.72037039999998
271,181,46.96722975,142.7169584746025
272,37,46.966415600000005,142.71699604999998
273,92,46.9635356,142.72667990201344
274,187,46.95846425,142.7209525
275,123,46.9574273,142.727438
276,125,46.9574273,142.727438
277,142,46.9574273,142.727438
278,135,46.9574273,142.727438
279,157,46.96439785,142.7174533717215
280,29,46.9656854,142.72717575
281,24,46.9623466,142.7287579
282,123,46.9630759,142.7275538007113
283,128,46.96173615,142.7280245
284,152,46.9544391,142.73011970482037
285,38,46.95469395,142.72942943258786
286,58,46.95294845,142.73045935467553
287,54,46.95246725,142.73053555885315
288,46,46.9657545,142.7222251
289,133,46.88570489999999,142.75133346693798
290,135,46.9956442,142.72862149270887
291,171,46.9956442,142.72862149270887
292,149,46.9956442,142.72862149270887
293,132,46.9956442,142.72862149270887
294,6,46.9574273,142.727438
295,12,46.97369635,142.7420903
296,3,46.961344,142.7152911443855
297,3,46.9560166,142.7165493
298,3,46.9597914,142.71563285000002
299,12,46.92314965,142.73662564025375
300,1,46.93652745,142.73288730000002
301,12,46.9576184,142.7221366
302,1,46.9365248,142.73262902285342
303,5,46.9367369,142.73237327196892
304,55,46.9708458,142.74026412569805
305,12,46.9735818,142.7399498
306,12,46.967376,142.74142693254873
307,12,46.9735818,142.7399498
308,,46.97120035,142.74125687720894
309,1,46.9648814,142.7018634
310,3,46.968525850000006,142.69985000116807
311,3,46.97656935,142.7432311
312,4,46.96684455,142.70951244999998
313,12,46.96530355,142.70981195000002
314,4,46.9040148,142.7387827
315,2,46.96601825,142.69775779999998
316,1,46.9644898,142.69815837551113
317,1,46.9635012,142.69776745
318,4,46.9683145,142.6978124
319,48,46.9956442,142.72862149270887
320,12,46.9956442,142.72862149270887
321,12,47.01586825,142.70993545
322,12,46.9956442,142.72862149270887
323,5,46.9956442,142.72862149270887
324,4,46.9684949,142.734688
325,3,46.9665457,142.7218485
326,46,46.9704847,142.74030695
327,0,46.9620077,142.71681575234902
328,2,46.9580699,142.6820682
329,13,46.9525176,142.7200296
330,1,46.9497352,142.722245
331,,46.95948585,142.70627439999998
332,1,46.9819167,142.7358201
333,192,46.963046,142.742726
334,228,46.96292865,142.7359528505901
335,177,46.9627445,142.73511872267431
336,24,46.93224295,142.74759853488894
337,135,46.9956442,142.72862149270887
338,151,46.9956442,142.72862149270887
339,49,46.96493335,142.72801642147803
340,161,46.9352505,142.727028
341,74,46.94632635,142.7263443
342,38,46.9460339,142.73361965424925
343,87,46.946306500000006,142.7323201
344,46,46.94540685,142.73261935
345,126,46.940752200000006,142.73448904586388
346,82,46.9393146,142.7338972257054
347,147,46.938533750000005,142.73459637454457
348,260,46.93623545,142.7345112
349,65,46.9352887,142.73473695
350,64,46.9350785,142.73489732680957
351,17,46.896383,142.741432
352,240,46.896383,142.741432
353,360,46.9239408,142.733973
354,240,46.896383,142.741432
355,144,46.9239408,142.733973
356,154,46.896383,142.741432
357,153,46.941469600000005,142.74291665431457
358,211,46.9401689,142.7433003
359,146,46.940167,142.7424061419611
360,150,46.9390791,142.74334226209183
361,237,46.9382061,142.74361302703124
362,211,46.9376336,142.74175269999995
363,240,46.9710037,142.7380105
364,203,46.9710037,142.7380105
365,149,46.9710037,142.7380105
366,211,46.9710037,142.7380105
367,240,46.9221475,142.7477333
368,480,46.9710037,142.7380105
369,240,46.9221475,142.7477333
370,162,46.9819167,142.7358201
371,211,46.9710037,142.7380105
372,12,46.9363801,142.7574183
373,12,46.9363801,142.7574183
374,12,46.9363801,142.7574183
375,82,46.9363801,142.7574183
376,118,46.9363801,142.7574183
377,88,46.9363801,142.7574183
378,176,46.9363801,142.7574183
379,84,46.9363801,142.7574183
380,216,46.9363801,142.7574183
381,148,46.9405169,142.7381791
382,140,46.9405169,142.7381791
383,164,46.9405169,142.7381791
384,192,46.9405169,142.7381791
385,203,46.9405169,142.7381791
386,147,46.9405169,142.7381791
387,202,46.9405169,142.7381791
388,198,46.9405169,142.7381791
389,120,46.9405169,142.7381791
390,167,46.9405169,142.7381791
391,159,46.896383,142.741432
392,171,46.96357375,142.7306086302852
393,143,46.9634372,142.7300588
394,155,46.9629209,142.72963575
395,180,46.9613763,142.73108455
396,194,46.9637667,142.730044
397,165,46.9618726,142.7373295
398,209,46.956145750000005,142.73816895
399,266,46.9554766,142.7383728
400,82,46.9572401,142.73430555
401,77,46.95712245,142.73333409708687
402,74,46.95706155,142.73236055
403,72,46.9569691,142.73135377589756
404,90,46.95896075,142.7323146869182
405,21,46.96273225,142.7380755811067
406,28,46.9624916,142.7378547
407,120,46.9623413,142.73305238949524
408,114,46.9617906,142.73169655672484
409,61,46.9627036,142.7288793
410,43,46.962607,142.7289005
411,69,46.9620444,142.72857725512355
412,18,46.963661,142.73938107673246
413,Нет,46.9638168,142.7385873
414,Нет,46.9638168,142.7385873
415,27,46.963674350000005,142.73507944713631
416,131,46.9628317,142.73288209480228
417,104,46.96327865,142.73132255000002
418,150,46.9532023,142.73685735591823
419,181,46.9524314,142.7313154
420,119,46.9535619,142.734619
421,194,46.95411455,142.73415434999998
422,110,46.9533484,142.73388782428515
423,157,46.95283275,142.7332954041184
424,201,46.955947550000005,142.7337829
425,53,46.96480455,142.73867293414884
426,77,46.9644896,142.7382581
427,105,46.964420700000005,142.73774212435774
428,122,46.9641602,142.73558461056783
429,123,46.9641344,142.73504557558712
430,32,46.96425405,142.73306242213232
431,46,46.9653032,142.7420177
432,130,46.9637047,142.73170495
433,156,46.96411105,142.73137450250067
434,85,46.95210085,142.73985199577209
435,Нет,46.9616574,142.7402204
436,117,46.9617603,142.73663952424124
437,188,46.96170515,142.73606525
438,215,46.9614849,142.73865
439,64,46.9610074,142.7328864
440,150,46.96398385,142.7339120691558
441,37,47.0494504,142.7234827
442,155,46.9617398,142.7344960473639
443,46,46.9579626,142.7349175
444,90,46.9536673,142.73610291816487
445,188,46.9508541,142.7362284
446,106,46.9567043,142.7348625291866
447,123,46.9508541,142.7362284
448,181,46.95587385,142.7350292452869
449,123,46.9508541,142.7362284
450,124,46.95492475,142.73395928441232
451,162,46.95445285,142.73530205
452,113,46.9508541,142.7362284
453,111,46.95915895,142.7297851452052
454,143,46.95068205,142.75520694770623
455,,46.92998235,142.75712820314533
456,24,46.931242,142.75758911449532
457,12,46.928311,142.7592369
458,12,46.928311,142.7592369
459,12,46.928311,142.7592369
460,12,46.928311,142.7592369
461,12,46.928311,142.7592369
